
finished episode 28900, last recorded reward: 671.8511553865513, last action : 95
finished episode 29000, last recorded reward: 671.8511553865513, last action : 88
finished episode 29100, last recorded reward: 671.8511553865513, last action : 97
finished episode 29200, last recorded reward: 671.8511553865513, last action : 99
finished episode 29300, last recorded reward: 671.8511553865513, last action : 80
finished episode 29400, last recorded reward: 671.8511553865513, last action : 97
finished episode 29500, last recorded reward: 671.8511553865513, last action : 70
finished episode 29600, last recorded reward: 1630.3287054792022, last action : 63
finished episode 29700, last recorded reward: 1134.42901785514, last action : 10
finished episode 29800, last recorded reward: 671.8511553865513, last action : 93
finished episode 29900, last recorded reward: 671.8511553865513, last action : 97
finished episode 30000, last recorded reward: 2067.2174904190188, last action : 36
===================== ALL DONE ~~ :) ===============================
